,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08
yeardate,2014.39452054795,2014.41369863014,2014.43287671233,2014.45205479452,2014.47123287671,2014.4904109589,2014.5095890411,2014.52876712329,2014.54794520548,2014.56712328767,2014.58630136986,2014.60547945205,2014.62465753425,2014.64383561644,2014.66301369863,2014.68219178082,2014.70136986301,2014.72054794521,2014.7397260274,2014.75890410959,2014.77808219178,2014.79726027397,2014.81643835616,2014.83561643836,2014.85479452055,2014.87397260274,2014.89315068493,2014.91232876712,2014.93150684932,2014.95068493151,2014.9698630137,2014.98904109589,2015.00821917808,2015.02739726027,2015.04657534247,2015.06575342466,2015.08493150685,2015.10410958904,2015.12328767123,2015.14246575342,2015.16164383562,2015.18082191781
patient,1,0.882352941176471,1,0.396825396825397,0.0535714285714286,0.0638297872340425,0.2,0.215686274509804,0.0684931506849315,0.0348837209302326,0.0514705882352941,0.118181818181818,0.0681818181818182,0.0459770114942529,0.0898876404494382,0.0777777777777778,0.225806451612903,0.108695652173913,0.0384615384615385,0.037037037037037,0.037037037037037,0,0.0930232558139535,0.0731707317073171,0.0394736842105263,0,0.0338983050847458,0,0,0,0,0,0,0.152173913043478,0.647058823529412,0.555555555555556,0.272727272727273,0,1,0.333333333333333,1,1
situation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.161290322580645,0.0612244897959184,0.0408163265306122,0.0408163265306122,0,0.0869565217391304,0.0857142857142857,0.0476190476190476,0,0.0444444444444444,0,0,0,0,0,0,0.318181818181818,0.55,1,0.25,0,1,0.333333333333333,1,1
combined,1,0.882352941176471,1,0.396825396825397,0.0535714285714286,0.0638297872340425,0.2,0.215686274509804,0.0684931506849315,0.0348837209302326,0.0514705882352941,0.118181818181818,0.0681818181818182,0.0459770114942529,0.0898876404494382,0.0777777777777778,0.225806451612903,0.0925925925925926,0.0384615384615385,0.0344827586206897,0.0338983050847458,0,0.0784313725490196,0.0697674418604651,0.0394736842105263,0,0.03125,0,0,0,0,0,0,0.152173913043478,0.523809523809524,0.555555555555556,0.25,0,1,0.333333333333333,1,1
