,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12,2015-04-19,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18
yeardate,2014.20273972603,2014.22191780822,2014.24109589041,2014.2602739726,2014.27945205479,2014.29863013699,2014.31780821918,2014.33698630137,2014.35616438356,2014.37534246575,2014.39452054795,2014.41369863014,2014.43287671233,2014.45205479452,2014.47123287671,2014.4904109589,2014.5095890411,2014.52876712329,2014.54794520548,2014.56712328767,2014.58630136986,2014.60547945205,2014.62465753425,2014.64383561644,2014.66301369863,2014.68219178082,2014.70136986301,2014.72054794521,2014.7397260274,2014.75890410959,2014.77808219178,2014.79726027397,2014.81643835616,2014.83561643836,2014.85479452055,2014.87397260274,2014.89315068493,2014.91232876712,2014.93150684932,2014.95068493151,2014.9698630137,2014.98904109589,2015.00821917808,2015.02739726027,2015.04657534247,2015.06575342466,2015.08493150685,2015.10410958904,2015.12328767123,2015.14246575342,2015.16164383562,2015.18082191781,2015.2,2015.21917808219,2015.23835616438,2015.25753424658,2015.27671232877,2015.29589041096,2015.31506849315,2015.33424657534,2015.35342465753,2015.37260273973,2015.39178082192,2015.41095890411,2015.4301369863,2015.44931506849,2015.46849315068,2015.48767123288,2015.50684931507,2015.52602739726,2015.54520547945,2015.56438356164,2015.58356164384,2015.60273972603,2015.62191780822,2015.64109589041,2015.6602739726,2015.67945205479,2015.69863013699,2015.71780821918,2015.73698630137,2015.75616438356,2015.77534246575,2015.79452054795
patient,0.272727272727273,0.5,0.44,0.217391304347826,0.037037037037037,0.0625,0.0909090909090909,0.5,0.0833333333333333,0.333333333333333,0.037037037037037,0.0377358490566038,0.169491525423729,0.0630630630630631,0.019047619047619,0,0.0535714285714286,0.0138888888888889,0.055045871559633,0.00934579439252336,0.020746887966805,0.028391167192429,0.0129533678756477,0.0168634064080944,0.012924071082391,0.00879765395894428,0.00949367088607595,0.0192061459667093,0.022700119474313,0.011887072808321,0.00878477306002928,0.00864553314121038,0.0194805194805195,0.0145348837209302,0.00522193211488251,0.0031055900621118,0.00310077519379845,0.00417827298050139,0.0072202166064982,0.00980392156862745,0.00543478260869565,0.0106194690265487,0.0259433962264151,0.00898203592814371,0.0328947368421053,0.0479452054794521,0.037593984962406,0.0318471337579618,0.0375,0.075,0.0416666666666667,0.0529801324503311,0.0387596899224806,0.0617283950617284,0.038961038961039,0.03125,0.0434782608695652,0.0606060606060606,0.0714285714285714,0.0588235294117647,0.3,0.0285714285714286,0.3125,0.185185185185185,0.148148148148148,0.208333333333333,0.0952380952380952,0.2,0.148148148148148,0.05,0.0344827586206897,0.142857142857143,0.666666666666667,1,1,0.6,1,1,1,1,0,0,1,0.666666666666667
situation,1,1,1,1,1,1,1,1,0.25,1,1,1,1,0.466666666666667,0.0769230769230769,0,0.3,0.0740740740740741,0.260869565217391,0.0303030303030303,0.0847457627118644,0.113924050632911,0.0357142857142857,0.0377358490566038,0.0313725490196078,0.0241935483870968,0.0186915887850467,0.0219619326500732,0.0209020902090209,0.0104166666666667,0.00668896321070234,0.00746268656716418,0.0163934426229508,0.0151515151515152,0.00575539568345324,0.00285306704707561,0.0033167495854063,0.00442477876106195,0.00732600732600733,0.0113636363636364,0.00607287449392713,0.0124223602484472,0.0332326283987915,0.0128205128205128,0.0344827586206897,0.0707070707070707,0.0403225806451613,0.0344827586206897,0.0392156862745098,0.0909090909090909,0.0378787878787879,0.0689655172413793,0.0333333333333333,0.0632911392405063,0.0365853658536585,0.0333333333333333,0.0540540540540541,0.0645161290322581,0.0606060606060606,0.0555555555555556,0.333333333333333,0.0285714285714286,0.416666666666667,0.2,0.148148148148148,0.208333333333333,0.1,0.2,0.133333333333333,0.0333333333333333,0.04,0.142857142857143,0.666666666666667,1,1,1,1,1,0.4,1,0,0,1,0.666666666666667
combined,0.272727272727273,0.5,0.44,0.217391304347826,0.037037037037037,0.0625,0.0909090909090909,0.5,0.0833333333333333,0.333333333333333,0.037037037037037,0.0377358490566038,0.169491525423729,0.0630630630630631,0.019047619047619,0,0.0535714285714286,0.0138888888888889,0.055045871559633,0.00934579439252336,0.020746887966805,0.028391167192429,0.0129533678756477,0.0168634064080944,0.012924071082391,0.00879765395894428,0.00947867298578199,0.0182481751824818,0.0198537095088819,0.00976800976800977,0.00668896321070234,0.00680272108843537,0.015,0.0136612021857923,0.00503778337531486,0.00280504908835905,0.00304878048780488,0.00412654745529574,0.00711743772241993,0.00978473581213307,0.00539568345323741,0.0103986135181976,0.0255813953488372,0.00887573964497041,0.0326797385620915,0.0479452054794521,0.037593984962406,0.0314465408805031,0.0372670807453416,0.075,0.0373134328358209,0.0529801324503311,0.0333333333333333,0.0609756097560976,0.0365853658536585,0.03125,0.0434782608695652,0.0555555555555556,0.0606060606060606,0.0555555555555556,0.3,0.0285714285714286,0.3125,0.185185185185185,0.148148148148148,0.208333333333333,0.0952380952380952,0.19047619047619,0.133333333333333,0.0333333333333333,0.0344827586206897,0.142857142857143,0.666666666666667,1,1,0.6,1,1,0.4,1,0,0,1,0.666666666666667
