,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12,2015-04-19,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18
yeardate,2014.20273972603,2014.22191780822,2014.24109589041,2014.2602739726,2014.27945205479,2014.29863013699,2014.31780821918,2014.33698630137,2014.35616438356,2014.37534246575,2014.39452054795,2014.41369863014,2014.43287671233,2014.45205479452,2014.47123287671,2014.4904109589,2014.5095890411,2014.52876712329,2014.54794520548,2014.56712328767,2014.58630136986,2014.60547945205,2014.62465753425,2014.64383561644,2014.66301369863,2014.68219178082,2014.70136986301,2014.72054794521,2014.7397260274,2014.75890410959,2014.77808219178,2014.79726027397,2014.81643835616,2014.83561643836,2014.85479452055,2014.87397260274,2014.89315068493,2014.91232876712,2014.93150684932,2014.95068493151,2014.9698630137,2014.98904109589,2015.00821917808,2015.02739726027,2015.04657534247,2015.06575342466,2015.08493150685,2015.10410958904,2015.12328767123,2015.14246575342,2015.16164383562,2015.18082191781,2015.2,2015.21917808219,2015.23835616438,2015.25753424658,2015.27671232877,2015.29589041096,2015.31506849315,2015.33424657534,2015.35342465753,2015.37260273973,2015.39178082192,2015.41095890411,2015.4301369863,2015.44931506849,2015.46849315068,2015.48767123288,2015.50684931507,2015.52602739726,2015.54520547945,2015.56438356164,2015.58356164384,2015.60273972603,2015.62191780822,2015.64109589041,2015.6602739726,2015.67945205479,2015.69863013699,2015.71780821918,2015.73698630137,2015.75616438356,2015.77534246575,2015.79452054795
patient,0.272727272727273,0.5,0.44,0.217391304347826,0.037037037037037,0.0625,0.181818181818182,1,0.166666666666667,1,0.518518518518518,0.339622641509434,0.711864406779661,0.279279279279279,0.114285714285714,0.0707070707070707,0.205357142857143,0.180555555555556,0.165137614678899,0.0514018691588785,0.0788381742738589,0.141955835962145,0.0829015544041451,0.0708263069139966,0.0403877221324717,0.0381231671554252,0.0712025316455696,0.0909090909090909,0.0884109916367981,0.0787518573551263,0.0497803806734993,0.0461095100864553,0.0941558441558442,0.0755813953488372,0.0378590078328982,0.0124223602484472,0.0186046511627907,0.0167130919220056,0.0270758122743682,0.0294117647058824,0.0543478260869565,0.0601769911504425,0.106132075471698,0.0658682634730539,0.171052631578947,0.171232876712329,0.180451127819549,0.133757961783439,0.15,0.5,0.3,0.211920529801325,0.186046511627907,0.296296296296296,0.116883116883117,0.25,0.260869565217391,0.212121212121212,0.321428571428571,0.352941176470588,1,0.142857142857143,1,0.740740740740741,0.777777777777778,0.875,0.523809523809524,0.95,0.703703703703704,0.6,0.0689655172413793,0.285714285714286,0.666666666666667,1,1,0.6,1,1,1,1,0,0,1,0.666666666666667
situation,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.461538461538462,0.28,1,0.962962962962963,0.782608695652174,0.166666666666667,0.322033898305085,0.569620253164557,0.228571428571429,0.158490566037736,0.0980392156862745,0.104838709677419,0.14018691588785,0.103953147877013,0.0814081408140814,0.0690104166666667,0.0379041248606466,0.0398009950248756,0.0792349726775956,0.0787878787878788,0.041726618705036,0.0114122681883024,0.0199004975124378,0.0176991150442478,0.0274725274725275,0.0340909090909091,0.0607287449392713,0.0703933747412008,0.13595166163142,0.094017094017094,0.179310344827586,0.252525252525253,0.193548387096774,0.144827586206897,0.156862745098039,0.606060606060606,0.272727272727273,0.275862068965517,0.16,0.30379746835443,0.109756097560976,0.266666666666667,0.324324324324324,0.225806451612903,0.272727272727273,0.333333333333333,1,0.142857142857143,1,0.8,0.777777777777778,0.875,0.55,0.95,0.633333333333333,0.4,0.08,0.285714285714286,0.666666666666667,1,1,1,1,1,0.4,1,0,0,1,0.666666666666667
combined,0.272727272727273,0.5,0.44,0.217391304347826,0.037037037037037,0.0625,0.181818181818182,1,0.166666666666667,1,0.518518518518518,0.339622641509434,0.711864406779661,0.279279279279279,0.114285714285714,0.0707070707070707,0.205357142857143,0.180555555555556,0.165137614678899,0.0514018691588785,0.0788381742738589,0.141955835962145,0.0829015544041451,0.0708263069139966,0.0403877221324717,0.0381231671554252,0.0710900473933649,0.086374695863747,0.077324973876698,0.0647130647130647,0.0379041248606466,0.036281179138322,0.0725,0.0710382513661202,0.0365239294710327,0.0112201963534362,0.0182926829268293,0.0165061898211829,0.0266903914590747,0.0293542074363992,0.0539568345323741,0.0589254766031196,0.104651162790698,0.0650887573964497,0.169934640522876,0.171232876712329,0.180451127819549,0.132075471698113,0.149068322981366,0.5,0.26865671641791,0.211920529801325,0.16,0.292682926829268,0.109756097560976,0.25,0.260869565217391,0.194444444444444,0.272727272727273,0.333333333333333,1,0.142857142857143,1,0.740740740740741,0.777777777777778,0.875,0.523809523809524,0.904761904761905,0.633333333333333,0.4,0.0689655172413793,0.285714285714286,0.666666666666667,1,1,0.6,1,1,0.4,1,0,0,1,0.666666666666667
