,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08
yeardate,2014.24109589041,2014.2602739726,2014.27945205479,2014.29863013699,2014.31780821918,2014.33698630137,2014.35616438356,2014.37534246575,2014.39452054795,2014.41369863014,2014.43287671233,2014.45205479452,2014.47123287671,2014.4904109589,2014.5095890411,2014.52876712329,2014.54794520548,2014.56712328767,2014.58630136986,2014.60547945205,2014.62465753425,2014.64383561644,2014.66301369863,2014.68219178082,2014.70136986301,2014.72054794521,2014.7397260274,2014.75890410959,2014.77808219178,2014.79726027397,2014.81643835616,2014.83561643836,2014.85479452055,2014.87397260274,2014.89315068493,2014.91232876712,2014.93150684932,2014.95068493151,2014.9698630137,2014.98904109589,2015.00821917808,2015.02739726027,2015.04657534247,2015.06575342466,2015.08493150685,2015.10410958904
patient,1,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0.178571428571429,0.142857142857143,0.136363636363636,0.0909090909090909,0.259259259259259,0.0119047619047619,0.0595238095238095,0.111801242236025,0.0776255707762557,0.063953488372093,0.0269461077844311,0.021978021978022,0.059375,0.0418006430868167,0.0434782608695652,0.0188679245283019,0.016304347826087,0.0078125,0.0135135135135135,0.10989010989011,0.118811881188119,0.0813953488372093,0.101694915254237,0.0363636363636364,0.0363636363636364,0.0263157894736842,0.105263157894737,0.0303030303030303,0,0,0.0833333333333333,0,0.285714285714286,0.333333333333333
situation,1,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0.192307692307692,0.16,0.15,0.111111111111111,0.304347826086957,0.0151515151515152,0.0847457627118644,0.227848101265823,0.121428571428571,0.0830188679245283,0.0352941176470588,0.032258064516129,0.059190031152648,0.0369318181818182,0.0316742081447964,0.0111731843575419,0.0077120822622108,0.00316455696202532,0.00387596899224806,0.0757575757575758,0.0930232558139535,0.0804597701149425,0.0857142857142857,0.03125,0.0377358490566038,0.027027027027027,0.0869565217391304,0.032258064516129,0,0,0.125,0,0.4,0.25
combined,1,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0.178571428571429,0.142857142857143,0.136363636363636,0.0909090909090909,0.259259259259259,0.0119047619047619,0.0595238095238095,0.111801242236025,0.0776255707762557,0.063953488372093,0.0269461077844311,0.021978021978022,0.059190031152648,0.0369318181818182,0.0316742081447964,0.0111731843575419,0.0077120822622108,0.00316455696202532,0.00387596899224806,0.0757575757575758,0.0930232558139535,0.0804597701149425,0.0857142857142857,0.03125,0.0363636363636364,0.0263157894736842,0.0869565217391304,0.0303030303030303,0,0,0.0833333333333333,0,0.285714285714286,0.25
