,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12,2015-04-19,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18
yeardate,2014.20273972603,2014.22191780822,2014.24109589041,2014.2602739726,2014.27945205479,2014.29863013699,2014.31780821918,2014.33698630137,2014.35616438356,2014.37534246575,2014.39452054795,2014.41369863014,2014.43287671233,2014.45205479452,2014.47123287671,2014.4904109589,2014.5095890411,2014.52876712329,2014.54794520548,2014.56712328767,2014.58630136986,2014.60547945205,2014.62465753425,2014.64383561644,2014.66301369863,2014.68219178082,2014.70136986301,2014.72054794521,2014.7397260274,2014.75890410959,2014.77808219178,2014.79726027397,2014.81643835616,2014.83561643836,2014.85479452055,2014.87397260274,2014.89315068493,2014.91232876712,2014.93150684932,2014.95068493151,2014.9698630137,2014.98904109589,2015.00821917808,2015.02739726027,2015.04657534247,2015.06575342466,2015.08493150685,2015.10410958904,2015.12328767123,2015.14246575342,2015.16164383562,2015.18082191781,2015.2,2015.21917808219,2015.23835616438,2015.25753424658,2015.27671232877,2015.29589041096,2015.31506849315,2015.33424657534,2015.35342465753,2015.37260273973,2015.39178082192,2015.41095890411,2015.4301369863,2015.44931506849,2015.46849315068,2015.48767123288,2015.50684931507,2015.52602739726,2015.54520547945,2015.56438356164,2015.58356164384,2015.60273972603,2015.62191780822,2015.64109589041,2015.6602739726,2015.67945205479,2015.69863013699,2015.71780821918,2015.73698630137,2015.75616438356,2015.77534246575,2015.79452054795
patient,0.272727272727273,0.25,0.16,0.0869565217391304,0.037037037037037,0,0.181818181818182,1,0,0.5,0.222222222222222,0.150943396226415,0.406779661016949,0.117117117117117,0.0666666666666667,0.0101010101010101,0.0892857142857143,0.0972222222222222,0.110091743119266,0.0327102803738318,0.045643153526971,0.0725552050473186,0.0284974093264249,0.0387858347386172,0.0193861066235864,0.0234604105571848,0.0379746835443038,0.0435339308578745,0.039426523297491,0.0386329866270431,0.0248901903367496,0.0259365994236311,0.051948051948052,0.0392441860465116,0.0169712793733681,0.0062111801242236,0.0062015503875969,0.00557103064066852,0.0108303249097473,0.0196078431372549,0.0253623188405797,0.0353982300884956,0.0542452830188679,0.0329341317365269,0.0789473684210526,0.089041095890411,0.0827067669172932,0.0828025477707006,0.08125,0.225,0.141666666666667,0.105960264900662,0.10077519379845,0.148148148148148,0.051948051948052,0.0625,0.173913043478261,0.0909090909090909,0.178571428571429,0.235294117647059,0.8,0.0857142857142857,0.4375,0.333333333333333,0.481481481481481,0.375,0.238095238095238,0.5,0.37037037037037,0.25,0.0689655172413793,0.285714285714286,0.333333333333333,0.666666666666667,0.333333333333333,0.2,1,1,1,1,0,0,1,0.666666666666667
situation,1,1,1,1,1,0,1,1,0,1,1,1,1,0.866666666666667,0.269230769230769,0.04,0.5,0.518518518518518,0.521739130434783,0.106060606060606,0.186440677966102,0.291139240506329,0.0785714285714286,0.0867924528301887,0.0470588235294118,0.0645161290322581,0.0747663551401869,0.0497803806734993,0.0363036303630363,0.0338541666666667,0.0189520624303233,0.0223880597014925,0.0437158469945355,0.0409090909090909,0.018705035971223,0.00570613409415121,0.0066334991708126,0.00589970501474926,0.010989010989011,0.0227272727272727,0.0283400809716599,0.041407867494824,0.0694864048338369,0.047008547008547,0.0827586206896552,0.131313131313131,0.0887096774193548,0.0896551724137931,0.0849673202614379,0.272727272727273,0.128787878787879,0.137931034482759,0.0866666666666667,0.151898734177215,0.0487804878048781,0.0666666666666667,0.216216216216216,0.0967741935483871,0.151515151515152,0.222222222222222,0.888888888888889,0.0857142857142857,0.583333333333333,0.36,0.481481481481481,0.375,0.25,0.5,0.333333333333333,0.166666666666667,0.08,0.285714285714286,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.2,1,0,0,1,0.666666666666667
combined,0.272727272727273,0.25,0.16,0.0869565217391304,0.037037037037037,0,0.181818181818182,1,0,0.5,0.222222222222222,0.150943396226415,0.406779661016949,0.117117117117117,0.0666666666666667,0.0101010101010101,0.0892857142857143,0.0972222222222222,0.110091743119266,0.0327102803738318,0.045643153526971,0.0725552050473186,0.0284974093264249,0.0387858347386172,0.0193861066235864,0.0234604105571848,0.037914691943128,0.0413625304136253,0.0344827586206897,0.0317460317460317,0.0189520624303233,0.0204081632653061,0.04,0.0368852459016393,0.0163727959697733,0.00561009817671809,0.00609756097560976,0.00550206327372765,0.0106761565836299,0.0195694716242661,0.0251798561151079,0.0346620450606586,0.0534883720930233,0.0325443786982249,0.0784313725490196,0.089041095890411,0.0827067669172932,0.0817610062893082,0.0807453416149068,0.225,0.126865671641791,0.105960264900662,0.0866666666666667,0.146341463414634,0.0487804878048781,0.0625,0.173913043478261,0.0833333333333333,0.151515151515152,0.222222222222222,0.8,0.0857142857142857,0.4375,0.333333333333333,0.481481481481481,0.375,0.238095238095238,0.476190476190476,0.333333333333333,0.166666666666667,0.0689655172413793,0.285714285714286,0.333333333333333,0.666666666666667,0.333333333333333,0.2,0.666666666666667,0.5,0.2,1,0,0,1,0.666666666666667
