,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12,2015-04-19,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02
yeardate,2014.60547945205,2014.62465753425,2014.64383561644,2014.66301369863,2014.68219178082,2014.70136986301,2014.72054794521,2014.7397260274,2014.75890410959,2014.77808219178,2014.79726027397,2014.81643835616,2014.83561643836,2014.85479452055,2014.87397260274,2014.89315068493,2014.91232876712,2014.93150684932,2014.95068493151,2014.9698630137,2014.98904109589,2015.00821917808,2015.02739726027,2015.04657534247,2015.06575342466,2015.08493150685,2015.10410958904,2015.12328767123,2015.14246575342,2015.16164383562,2015.18082191781,2015.2,2015.21917808219,2015.23835616438,2015.25753424658,2015.27671232877,2015.29589041096,2015.31506849315,2015.33424657534,2015.35342465753,2015.37260273973,2015.39178082192,2015.41095890411,2015.4301369863,2015.44931506849,2015.46849315068,2015.48767123288,2015.50684931507,2015.52602739726,2015.54520547945,2015.56438356164,2015.58356164384
patient,0.125,0.0526315789473684,0.0256410256410256,0,0,0.015625,0.05,0.148514851485149,0.103448275862069,0.0547945205479452,0.0398009950248756,0.16289592760181,0.103585657370518,0.0374331550802139,0.00497512437810945,0.00523560209424084,0.00313479623824451,0,0,0,0.0558139534883721,0.0785340314136126,0.0392156862745098,0.0925925925925926,0.0862068965517241,0.25,0.305555555555556,0.123287671232877,0.538461538461538,0.147058823529412,0.0769230769230769,0.333333333333333,0.357142857142857,0.230769230769231,0.142857142857143,0.5,0,0.333333333333333,1,0,0.25,0,0,0,1,0.666666666666667,0.6,1,0.25,0,0,1
situation,1,1,1,0,0,1,0.0731707317073171,0.128205128205128,0.09375,0.0563380281690141,0.0470588235294118,0.1875,0.136842105263158,0.0479452054794521,0.0037037037037037,0.00578034682080925,0.00364963503649635,0,0,0,0.0701754385964912,0.104895104895105,0.0666666666666667,0.106382978723404,0.138888888888889,0.241379310344828,0.407407407407407,0.126760563380282,0.823529411764706,0.147058823529412,0.121212121212121,0.15625,0.294117647058824,0.230769230769231,0.166666666666667,1,0,0.333333333333333,0.5,0,0.25,0,0,0,1,1,0.75,1,0.1,0,0,1
combined,0.125,0.0526315789473684,0.0256410256410256,0,0,0.015625,0.05,0.128205128205128,0.0882352941176471,0.0529801324503311,0.037914691943128,0.16289592760181,0.103585657370518,0.0374331550802139,0.0037037037037037,0.00523560209424084,0.00313479623824451,0,0,0,0.0558139534883721,0.0785340314136126,0.0392156862745098,0.087719298245614,0.0862068965517241,0.241379310344828,0.305555555555556,0.109756097560976,0.518518518518518,0.135135135135135,0.0769230769230769,0.15625,0.238095238095238,0.1875,0.125,0.5,0,0.25,0.5,0,0.25,0,0,0,1,0.666666666666667,0.6,1,0.0909090909090909,0,0,1
